date_id,date_display,year,month,month_name,day,day_of_week,day_name,week_of_year,quarter,season,is_weekend,is_holiday,is_month_end
2023-01-01,2023-01-01,2023,1,Jan,1,6,Sunday,52,Q1,Winter,1,1,0
2023-01-02,2023/01/02,2023,1,January,2,0,Monday,1,1,Winter,0,0,0
2023-01-03,2023-01-03,2023,1,January,3,1,Tuesday,1,Q1,Winter,0,0,0
2023-01-04,2023-01-04,2023,1,January,4,2,Wednesday,1,Q1,Winter,0,0,0
2023-01-05,2023-01-05,2023,1,January,5,3,Thursday,1,Q1,Winter,0,0,0
2023-01-06,2023-01-06,2023,1,January,6,4,Friday,1,Q1,Winter,0,0,0
2023-01-07,2023-01-07,2023,1,January,7,5,Saturday,1,Q1,Winter,1,0,0
2023-01-08,2023-01-08,2023,1,January,8,6,Sunday,1,Q1,Winter,1,0,0
2023-01-09,2023-01-09,2023,1,January,9,0,Monday,2,Q1,Winter,0,0,0
2023-01-10,2023-01-10,2023,1,January,10,1,Tuesday,2,1,Winter,0,0,0
2023-01-11,2023-01-11,2023,1,January,11,2,Wednesday,2,Q1,Winter,0,0,0
2023-01-12,2023-01-12,2023,1,January,12,3,Thursday,2,Q1,Winter,0,0,0
2023-01-13,2023-01-13,2023,1,January,13,4,Friday,2,Q1,Winter,0,0,0
2023-01-14,2023-01-14,2023,1,January,14,5,Saturday,2,Q1,Winter,1,0,0
2023-01-15,2023-01-15,2023,1,January,15,6,Sunday,2,Q1,Winter,1,0,0
2023-01-16,2023-01-16,2023,1,January,16,0,Monday,3,Q1,Winter,0,1,0
2023-01-17,2023-01-17,2023,1,January,17,1,Tuesday,3,Q1,Winter,0,0,0
2023-01-18,2023-01-18,2023,1,January,18,2,Wednesday,3,Q1,Winter,0,0,0
2023-01-19,2023-01-19,2023,1,January,19,3,Thursday,3,Q1,Winter,0,0,0
2023-01-20,2023-01-20,2023,1,January,20,4,Friday,3,1,Winter,0,0,0
2023-01-21,2023-01-21,2023,1,January,21,5,Saturday,3,Q1,Winter,1,0,0
2023-01-22,2023-01-22,2023,1,January,22,6,Sunday,3,1,Winter,1,0,0
