product_id,product_name,category,subcategory,unit_price,cost_price,supplier_id,shelf_life_days,weight_kg,is_perishable
P1001,Smartphones Item 1,ELECTRONICS,Smartphones,1049.28,451.98,S118,,6.39,No
P1002,Smartphones Item 2,Elctronics,Smartphones,287.25,176.6,S118,,6.79,No
P1003,Smartphones Item 3,Electronics,Smartphones,597.74,314.88,S109,,14.36,No
P1004,Smartphones Item 4,Electronics,Smartphones,670.74,321.52,S102,,8.09,No
P1005,Smartphones Item 5,Electronics,Smartphones,1466.39,858.65,S112,,10.6,No
P1006,Smartphones Item 6,ELECTRONICS,Smartphones,307.28,202.79,S113,,9.57,No
P1007,Smartphones Item 7,Electronics,Smartphones,706.04,480.81,S103,,2.65,No
P1008,Smartphones Item 8,electronics,Smartphones,1161.41,704.34,S108,,12.66,No
P1009,Laptops Item 1,Electronics,Laptops,1220.0,512.23,S119,,4.79,No
P1010,Laptops Item 2,Electronics,Laptops,1069.3,512.69,S108,,8.13,No
P1011,Laptops Item 3,Electronics,Laptops,1183.77,827.69,S105,,1.45,No
P1012,Laptops Item 4,Electroncs,Laptops,308.9,129.45,S113,,7.07,No
P1013,Laptops Item 5,Electronics,Laptops,564.27,245.1,S118,,11.55,No
P1014,Laptops Item 6,Electroncs,Laptops,675.22,447.51,S109,,11.45,No
P1015,Laptops Item 7,ELECTRONICS,Laptops,884.6,406.63,S112,,8.14,No
P1016,Laptops Item 8,Electronics,,1223.28,496.46,S112,,12.49,No
P1017,Tablets Item 1,Elctronics,Tablets,634.39,346.25,S103,,8.04,No
P1018,Tablets Item 2,Electronics,Tablets,407.2,227.34,S120,,3.26,No
P1019,Tablets Item 3,Electronics,Tablets,924.12,645.54,S112,,7.81,No
P1020,Tablets Item 4,ELECTRONICS,,401.26,231.34,S101,,,No
P1021,Tablets Item 5,Electronics,Tablets,1038.88,489.73,S116,,2.07,No
P1022,Tablets Item 6,Electronics,Tablets,1419.39,911.6,S107,,9.92,No
P1023,Tablets Item 7,Electronics,Tablets,692.87,412.98,S104,,,No
P1024,Tablets Item 8,Electronics,Tablets,1160.27,650.78,S105,,4.25,No
P1025,Accessories Item 1,Electronics,Accessories,562.26,317.73,S102,,8.15,No
P1026,Accessories Item 2,Electroncs,Accessories,268.45,124.59,S113,,2.55,No
P1027,Accessories Item 3,Electronics,Accessories,252.69,122.7,S118,,7.35,No
P1028,Accessories Item 4,Electronics,Accessories,487.37,304.31,S102,,,No
P1029,Accessories Item 5,Electronics,Accessories,845.99,467.28,S106,,,No
P1030,Accessories Item 6,Electronics,Accessories,334.95,191.22,S119,,9.33,No
P1031,Accessories Item 7,Electronics,Accessories,774.03,357.04,S111,,6.0,No
P1032,Accessories Item 8,ELECTRONICS,Accessories,1089.61,438.89,S120,,14.94,No
P1033,Audio Item 1,ELECTRONICS,Audio,341.58,143.68,S108,,2.45,No
P1034,Audio Item 2,Electronics,Audio,1292.18,770.39,S101,,8.36,No
P1035,Audio Item 3,Electroncs,Audio,1414.7,880.97,S105,,9.11,No
P1036,Audio Item 4,ELECTRONICS,Audio,1147.02,771.31,S102,,6.41,No
P1037,Audio Item 5,Electroncs,Audio,595.85,370.84,S118,,8.46,No
P1038,Audio Item 6,Electronics,Audio,389.84,160.15,S112,,2.31,No
P1039,Audio Item 7,Electronics,Audio,409.31,269.41,S112,,3.82,No
P1040,Audio Item 8,Electronics,Audio,378.49,221.87,S105,,3.63,No
P1041,Men Item 1,Clothing,Men,45.31,20.56,S111,,6.23,No
P1042,Men Item 2,Clothing,Men,108.74,66.37,S113,,12.89,No
P1043,Men Item 3,Clothing,Men,52.8,33.72,S108,,9.93,No
P1044,Men Item 4,Clothing,Men,74.81,44.32,S113,,12.67,No
P1045,Men Item 5,CLOTHING,Men,66.39,31.84,S104,,5.25,No
P1046,Men Item 6,Clothing,Men,123.3,82.59,S107,,10.66,No
P1047,Men Item 7,Clothing,Men,25.21,15.7,S107,,1.14,No
P1048,Men Item 8,Clothing,Men,108.03,66.54,S110,,10.04,No
P1049,Women Item 1,Clothing,Women,65.77,39.43,S113,,13.55,No
P1050,Women Item 2,Clothing,Women,,49.55,S114,,9.14,No
P1051,Women Item 3,Clothing,Women,65.28,41.66,S106,,4.33,No
P1052,Women Item 4,Clothing,Women,107.98,50.8,S110,,3.07,No
P1053,Women Item 5,clothing,Women,28.05,15.05,S119,,10.48,No
P1054,Women Item 6,Clothing,Women,86.8,57.78,S114,,12.08,No
P1055,Women Item 7,Clothing,Women,111.99,48.87,S105,,10.05,No
P1056,Women Item 8,Clothing,Women,148.49,86.69,S117,,13.61,No
P1057,Kids Item 1,clothing,Kids,80.74,52.64,S109,,7.87,No
P1058,Kids Item 2,Clothing,Kids,103.34,51.75,S118,,2.35,No
P1059,Kids Item 3,Clothng,Kids,72.88,41.02,S114,,,No
P1060,Kids Item 4,Clothing,Kids,129.11,52.4,S119,,0.19,No
P1061,Kids Item 5,Clothing,Kids,68.97,36.26,S118,,13.48,No
P1062,Kids Item 6,clothing,,86.03,51.94,S113,,12.62,No
P1063,Kids Item 7,Clothing,Kids,139.94,80.82,S101,,6.49,No
P1064,Kids Item 8,CLOTHING,Kids,133.36,66.42,S113,,14.27,No
P1065,Accessories Item 1,Clothing,Accessories,77.7,32.29,S112,,1.12,No
P1066,Accessories Item 2,Clothing,Accessories,144.66,58.75,S105,,7.16,No
P1067,Accessories Item 3,Clothing,Accessories,39.3,20.07,S120,,11.24,No
