transaction_id,date_id,product_id,store_id,quantity_sold,unit_price,gross_amount,discount_percentage,discount_amount,net_amount,is_promotion,current_stock_level,reorder_point,units_to_stock,stockout_flag
T100001,2023-01-01,P1026,ST021,2.0,,536.9,0,0.0,536.9,No,282.0,31,0,0
T100002,2023-01-01,P1191,ST011,1.0,86.06,86.06,0,0.0,86.06,No,190.0,65,0,0
T100003,2023-01-01,P1143,ST018,4.0,236.75,947.0,0,0.0,947.0,No,469.0,70,0,0
T100004,2023-01-01,P1110,ST020,20.0,19.37,387.4,0,0.0,387.4,No,287.0,36,0,0
T100005,2023-01-01,P1111,ST010,19.0,23.62,448.78,0,0.0,448.78,No,172.0,28,0,0
T100006,2023-01-01,P1106,ST020,15.0,5.72,85.8,0,0.0,85.8,No,430.0,55,0,0
T100007,2023-01-01,P1060,ST015,1.0,129.11,129.11,0,0.0,129.11,No,362.0,81,0,0
T100008,2023-01-01,P1009,ST027,1.0,1220.0,1220.0,0,0.0,1220.0,No,496.0,72,0,0
T100009,2023-01-01,P1118,ST016,14.0,6.13,85.82,0,0.0,85.82,No,31.0,97,72,0
T100010,2023-01-01,P1134,ST007,8.0,292.1,2336.8,0,0.0,2336.8,No,459.0,25,0,0
T100011,2023-01-01,P1075,ST029,7.0,51.51,360.57,0,0.0,360.57,No,406.0,56,0,0
T100012,2023-01-01,P1029,ST012,3.0,845.99,2537.97,0,0.0,2537.97,No,366.0,89,0,0
T100013,2023-01-01,P1083,ST045,6.0,6.85,41.1,0,0.0,41.1,No,73.0,31,0,0
T100014,2023-01-01,P1141,ST025,1.0,120.81,120.81,0,0.0,120.81,No,477.0,62,0,0
T100015,2023-01-01,P1074,ST041,3.0,135.2,,10,40.56,365.04,Yes,113.0,20,0,0
T100016,2023-01-01,P1169,ST031,8.0,31.17,249.36,0,0.0,249.36,No,50.0,96,66,0
T100017,2023-01-01,P1010,ST010,1.0,1069.3,1069.3,0,0.0,1069.3,No,439.0,97,0,0
T100018,2023-01-01,P1147,ST036,3.0,105.39,316.17,0,0.0,316.17,No,393.0,94,0,0
T100019,2023-01-01,P1075,ST031,3.0,51.51,154.53,15,23.18,131.35,Yes,178.0,87,0,0
T100020,2023-01-01,P1181,ST019,7.0,53.48,374.36,0,0.0,374.36,No,172.0,53,0,0
T100021,2023-01-01,P1157,ST015,5.0,195.68,978.4,0,0.0,978.4,No,10.0,35,55,0
T100022,2023-01-01,P1164,ST014,1.0,52.72,52.72,0,0.0,52.72,No,363.0,56,0,0
T100023,2023-01-01,P1158,ST002,3.0,127.4,382.2,0,0.0,382.2,No,436.0,63,0,0
T100024,2023-01-01,P1119,ST027,2.0,22.41,44.82,0,0.0,44.82,No,163.0,92,0,0
T100025,2023-01-01,P1072,ST002,6.0,128.59,771.54,0,0.0,771.54,No,330.0,88,0,0
T100026,2023-01-01,P1070,ST027,2.0,131.29,262.58,0,0.0,262.58,No,131.0,67,0,0
T100027,2023-01-01,P1130,ST002,8.0,225.44,1803.52,0,0.0,1803.52,No,88.0,44,0,0
T100028,2023-01-01,P1174,st009,4.0,40.39,161.56,0,0.0,161.56,No,245.0,69,0,0
T100029,2023-01-01,P1027,ST034,3.0,252.69,758.07,0,0.0,758.07,No,21.0,93,82,0
T100030,2023-01-01,P1039,ST011,2.0,409.31,818.62,25,204.66,613.96,Yes,296.0,85,0,0
T100031,2023-01-01,P1157,ST022,8.0,195.68,1565.44,5,78.27,1487.17,Yes,251.0,26,0,0
T100032,2023-01-01,P1092,ST020,11.0,15.21,167.31,0,0.0,167.31,No,375.0,88,0,0
T100033,2023-01-01,P1176,ST042,8.0,89.18,713.44,0,0.0,713.44,No,495.0,48,0,0
T100034,2023-01-01,P1117,ST032,1.0,20.49,20.49,5,1.02,19.47,Yes,189.0,81,0,0
T100035,2023-01-01,P1143,ST042,2.0,236.75,473.5,0,0.0,473.5,No,282.0,79,0,0
T100036,2023-01-01,P1111,ST028,19.0,23.62,448.78,0,0.0,448.78,No,288.0,50,0,0
T100037,2023-01-01,P1114,ST012,10.0,29.29,292.9,0,0.0,292.9,No,45.0,96,88,0
T100038,2023-01-01,P1194,ST041,1.0,81.67,81.67,0,0.0,81.67,No,348.0,39,0,0
T100039,2023-01-01,P1112,ST046,12.0,11.27,135.24,0,0.0,135.24,No,,21,0,0
T100040,2023-01-01,P1092,ST008,10.0,15.21,152.1,0,0.0,152.1,No,130.0,75,0,0
T100041,2023-01-01,P1143,ST025,6.0,,1420.5,0,0.0,1420.5,No,88.0,56,0,0
T100042,2023-01-01,P1022,ST009,3.0,1419.39,4258.17,0,0.0,4258.17,No,450.0,78,0,0
T100043,2023-01-01,P1048,ST028,1.0,108.03,108.03,0,0.0,108.03,No,443.0,50,0,0
T100044,2023-01-01,P1124,ST045,2.0,264.6,529.2,30,158.76,370.44,Yes,279.0,55,0,0
T100045,2023-01-01,P1139,ST038,5.0,127.91,639.55,0,0.0,639.55,No,472.0,63,0,0
T100046,2023-01-01,P1075,ST011,1.0,51.51,51.51,0,0.0,51.51,No,315.0,58,0,0
T100047,2023-01-01,P1007,ST019,2.0,706.04,1412.08,25,353.02,1059.06,Yes,49.0,55,26,0
T100048,2023-01-01,P1095,ST012,8.0,33.512732911314764,268.1,0,0.0,268.1,No,419.0,87,0,0
T100049,2023-01-01,P1061,ST043,8.0,68.97,551.76,0,0.0,551.76,No,95.0,46,0,0
T100050,2023-01-01,P1192,ST049,,55.01,220.04,0,0.0,220.04,No,371.0,69,0,0
T100051,2023-01-01,P1025,ST035,3.0,562.26,1686.78,0,0.0,1686.78,No,442.0,75,0,0
T100052,2023-01-01,P1188,st044,4.0,38.2,152.8,0,0.0,152.8,No,356.0,43,0,0
T100053,2023-01-01,P1065,ST013,1.0,77.7,77.7,5,3.88,73.82,Yes,39.0,96,84,0
T100054,2023-01-01,P1048,ST008,987.0,108.03,324.09,0,0.0,324.09,No,249.0,29,0,0
T100055,2023-01-01,P1071,ST004,7.0,33.62,235.34,0,0.0,235.34,No,40.0,53,19,0
T100056,2023-01-01,P1139,ST028,4.0,127.91,511.64,0,0.0,511.64,No,64.0,76,46,0
T100057,2023-01-01,P1001,ST003,7.0,1049.28,7344.96,0,0.0,7344.96,No,368.0,62,0,0
T100058,2023-01-01,P1139,ST015,1.0,127.91,127.91,0,0.0,127.91,No,362.0,81,0,0
T100059,2023-01-01,P1137,ST022,2.0,118.32,236.64,0,0.0,236.64,No,399.0,57,0,0
T100060,2023-01-01,P1125,ST006,8.0,247.11,1976.88,0,0.0,1976.88,No,81.0,24,0,0
T100061,2023-01-01,P1005,ST003,2.0,1466.39,2932.78,30,879.83,2052.95,Yes,31.0,71,36,0
T100062,2023-01-01,P1010,ST048,1.0,,1069.3,0,0.0,1069.3,No,19.0,80,58,0
T100063,2023-01-01,P1117,ST040,6.0,20.49,122.94,0,0.0,122.94,No,42.0,33,12,0
T100064,2023-01-01,P1084,ST008,19.0,24.11,458.09,0,0.0,458.09,No,174.0,47,0,0
T100065,2023-01-01,P1063,ST038,,139.94,139.94,30,41.98,97.96,Yes,323.0,68,0,0
T100066,2023-01-01,P1178,ST031,3.0,52.31,156.93,0,0.0,156.93,No,337.0,54,0,0
T100067,2023-01-01,P1078,ST023,7.0,118.24,827.68,10,82.77,744.91,Yes,108.0,35,0,0
T100068,2023-01-01,P1071,ST004,4.0,33.62,134.48,10,13.45,121.03,Yes,360.0,80,0,0
T100069,2023-01-01,P1012,ST007,3.0,308.9,926.7,25,231.68,695.02,Yes,100.0,40,0,0
T100070,2023-01-01,P1059,ST008,6.0,72.88,437.28,0,0.0,437.28,No,131.0,72,0,0
T100071,2023-01-01,P1046,ST025,6.0,123.3,739.8,30,221.94,517.86,Yes,109.0,100,13,0
T100072,2023-01-01,P1044,ST049,6.0,74.81,448.86,0,0.0,448.86,No,161.0,97,0,0
T100073,2023-01-01,P1126,ST014,8.0,169.06,1352.48,0,0.0,1352.48,No,152.0,21,0,0
T100074,2023-01-01,P1002,ST027,1.0,287.25,287.25,20,57.45,229.8,Yes,385.0,84,0,0
